,,0
X1,X1,1.0
X4,X2,0.6249776020786852
X12,X3,0.5060245742246345
X6,X10,0.31224328351214725
X4,X9,0.31085596655216186
X9,X2,0.3067942494037178
X4,X17,0.28604398346474263
X6,X8,0.2560157560671481
X14,X4,0.2554043880971741
X5,X1,0.24274160032719516
X10,X8,0.2347086370754893
X2,"Y(1=default, 0=non-default)",0.2056846271614897
X9,X14,0.19615352346888376
X10,X13,0.19065118631302239
X3,X1,0.1906319070629847
X14,X2,0.18698318509883585
X10,X14,0.17842255105154142
X17,X2,0.17562882288519638
X9,X17,0.17234408765411663
X8,X20,0.1688900446426308
X10,X3,0.16835038195841873
X15,X16,0.15443624123819372
X6,X3,0.14788458791319184
X8,X9,0.14570565957270923
X13,X23,0.14506582086777972
X13,X7,0.14486810810300602
X12,X10,0.14128661264538275
X9,"Y(1=default, 0=non-default)",0.14085145615292574
X7,X6,0.1399108582969297
X17,X14,0.13669290669181827
X6,X12,0.13515997768334168
X1,X21,0.13196718933083756
X3,X11,0.12519686965902027
X6,X5,0.12319053905738458
X9,X18,0.1210988090311786
X18,X1,0.11954831209506189
X8,X17,0.10920660431311903
X18,X5,0.1052892217713944
X24,X6,0.10436926503687734
X16,X13,0.10266258739465164
X3,X21,0.10224853578289057
X17,X5,0.10078521187201771
X1,X6,0.09914179079766126
X9,X6,0.09870709987199137
X13,X6,0.09737067772008368
X13,X12,0.09697800090336388
"Y(1=default, 0=non-default)",X16,0.09690047108093189
X8,X14,0.09549492739283189
X22,X16,0.09423261347304378
X8,X5,0.09308863507218552
"Y(1=default, 0=non-default)",X20,0.09278544671300058
X10,X16,0.08811499766858258
X1,X10,0.08755964150969539
X23,X15,0.08741177488463404
X1,X12,0.08734832575428125
X24,X11,0.08625518763304973
X4,"Y(1=default, 0=non-default)",0.08599176925330507
X10,X5,0.08545253588517317
X4,X19,0.07877934330986186
X14,X5,0.07725953117729206
X10,X9,0.07711940031922614
X15,X13,0.07707085312345112
X2,X24,0.07418482103919229
X10,X7,0.07258166561542909
X23,X16,0.07204063393595807
X14,X6,0.07171531145634745
X12,X7,0.07138257942397214
X21,X7,0.07041720197176689
X14,X1,0.06900028103902137
X8,X12,0.0671928834243824
X18,X14,0.06716511453979462
X7,X15,0.06681367325493184
X19,X15,0.0663378637508202
X17,X18,0.06319699231382522
X21,X23,0.06300269782979231
X20,X11,0.0627594396614217
X19,"Y(1=default, 0=non-default)",0.06272836622171617
X1,X17,0.0619352819068857
X3,X8,0.059558221513464196
X24,X5,0.05784545409208727
X2,X6,0.05735797599737109
X14,X3,0.057317063269277276
X7,X3,0.0559311854614405
X13,X17,0.05486157064902616
X12,X21,0.0533239780838114
X10,X17,0.05175879490986103
X5,X2,0.051335027147384256
X24,X1,0.050985911773218553
X14,X12,0.05061223272085932
X10,X21,0.0502793112720133
X4,X5,0.05022919040130284
X23,X10,0.049222694095061734
X20,X19,0.048161544162525126
X6,X17,0.04723398119524304
X7,X17,0.045722522978792174
X18,X3,0.0450582794032657
X8,X2,0.04367050210126079
X1,X7,0.04359740513512271
X1,X11,0.04290001245357133
X15,X22,0.04283412656924654
X13,X8,0.04045465204305379
X13,X4,0.039999258071391174
X20,X17,0.039159536327058576
X7,X14,0.039080136940964474
X9,X24,0.038937976544418995
X3,X16,0.03817458787121335
X18,X11,0.03804805254388857
X19,X22,0.03775029418184303
X17,X3,0.03721904600149533
X16,X12,0.03693431400407602
X22,X12,0.03399704871556886
X9,X5,0.03308598909041749
X19,X2,0.032978265198445156
X20,X15,0.03284861643785554
X2,X12,0.028429560187982636
X10,X18,0.026816170727123834
X4,X10,0.02659123772091463
X13,X5,0.024776128753695243
X19,X9,0.024142429289200403
X4,X8,0.02375711426931145
X12,X4,0.023371491255306732
X18,X8,0.022563500075490375
X15,X11,0.022334441424895175
X11,X16,0.021892820341676653
X7,X5,0.021394505803003352
X15,X21,0.018960384048639044
X22,X20,0.018886246550784632
X18,X6,0.018460561947193522
X2,X7,0.018117524270754224
X16,X8,0.017130593794182247
X22,X11,0.016595687599070274
X12,X24,0.015376103992504778
X10,X22,0.015134816981254054
X16,X7,0.014921901191269741
X5,X3,0.014782380991311904
X7,X23,0.01459670980307306
X23,X20,0.014347115529076023
X13,X3,0.013762099443308067
X19,X7,0.013573589792011675
X12,X18,0.013396342938452887
X24,X21,0.012866175464130766
X15,X3,0.012798772866567448
X5,X22,0.012556142691114646
X8,X11,0.012440505140221585
X20,X24,0.012048573525199974
X11,X17,0.010459291424774239
X18,X2,0.010335432954246673
X13,X9,0.009545125055684537
X23,X8,0.008953621829729334
X3,X24,0.008866473721013445
X24,X7,0.006942434044355823
X16,X5,0.006602151431016262
X9,X22,0.006384836775159207
X11,X19,0.006235070962823904
X16,X18,0.006197086241184486
"Y(1=default, 0=non-default)",X22,0.005950720826577536
X6,X21,0.005585497284055698
X15,X10,0.005251590268075992
X16,X19,0.004836180349836264
X15,X5,0.004737696615595134
X19,X12,0.004241625472524402
X17,X12,0.004025430884102213
X11,X5,0.0039076772014617666
"Y(1=default, 0=non-default)",X8,0.0025531780318061364
X21,X18,0.002351947635942676
X9,X7,0.002207510576475672
X21,X5,0.002159838918912587
X18,X22,0.0010797717132153368
X20,X5,0.0010276785716017138
X4,X6,0.00026841898052637665
X4,X7,0.0002506553646540811
X8,X24,-6.067904459388851e-05
X8,X19,-0.0004339967868722151
X18,"Y(1=default, 0=non-default)",-0.0007513550934163827
X4,X20,-0.0008361290634191033
X3,X19,-0.0010000871105717917
"Y(1=default, 0=non-default)",X13,-0.0030148530833446945
X12,X9,-0.0036838030258037643
X18,X4,-0.005118489953988716
X13,X18,-0.005565658365719661
X12,X15,-0.0071901867824964915
X13,X22,-0.007723406358332297
X19,X24,-0.008669733017308997
X16,X21,-0.009617929714854125
X24,X18,-0.010055481193373909
X22,X3,-0.01088053907160928
X3,X4,-0.011097730107357002
X23,X12,-0.011582743602295475
X16,X20,-0.011620405435334038
X23,X3,-0.01298055831711574
X24,"Y(1=default, 0=non-default)",-0.013559399939321414
X19,X10,-0.014578190666139575
X14,X13,-0.014753439338347225
X11,X21,-0.015974256979750176
X14,X19,-0.016073916367030715
X1,X4,-0.016533196420080772
X6,X16,-0.018610695254147023
X24,X4,-0.0194467799266805
X13,X1,-0.01972092530335519
X23,"Y(1=default, 0=non-default)",-0.02182178902359924
X11,X14,-0.0235995806380233
X9,X16,-0.02545637117643969
X6,X23,-0.026193983410160507
X9,X1,-0.027091866743979186
X6,X11,-0.027165496727281656
X21,X13,-0.02757895700598111
X19,X23,-0.027737125883782278
X17,X22,-0.02839475357551839
X23,X18,-0.029266703509655115
X12,X5,-0.030355868725529978
X19,X6,-0.031467046394380666
X17,X15,-0.03156382383680063
X4,X11,-0.03219484969277151
X15,X1,-0.032244071820470524
X6,X15,-0.03274218321746989
X8,X22,-0.0328045799597773
X13,X19,-0.032816743001063846
X17,X24,-0.03332137302874446
X8,X7,-0.03385919887758385
X21,X19,-0.03604281970281952
X14,X21,-0.036274734336343865
X14,X16,-0.03627477804867036
X2,X10,-0.03631637736138955
"Y(1=default, 0=non-default)",X14,-0.03646619017996345
X5,X19,-0.037490917019860966
X23,X1,-0.04001140369697592
X22,X14,-0.04012385097026342
X22,X21,-0.04047990897283097
X22,X7,-0.041068326362233745
X3,X2,-0.041502266345494934
X12,X11,-0.041529653480665556
X18,X7,-0.04229428869253696
X13,X2,-0.04326536842759453
X7,X11,-0.04347604616816383
X22,X1,-0.04470766038947628
X15,X24,-0.0472924842416285
X12,"Y(1=default, 0=non-default)",-0.0473157787461374
X5,X23,-0.04741344259261523
X3,X9,-0.0477230978254196
X20,X18,-0.048078845606701406
X1,X8,-0.048577132936519496
X10,X11,-0.048924162435478404
X14,X20,-0.049524211926925944
X2,X22,-0.05212401130876895
X19,X17,-0.05347419306251052
X19,X1,-0.05356589229561559
X2,X20,-0.055276110896304714
X11,X23,-0.05586628006628162
X8,X15,-0.056483639523841875
X20,X9,-0.056594208204985445
X21,X2,-0.05695145614321641
