X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,"Y(1=default, 0=non-default)",Credit_Score
0,0,4,0,4,4,2,3,0,4,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,792.5730654680168
1,3,2,1,0,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,330.6750046034459
3,0,4,0,0,3,2,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,824.8367600051117
0,2,2,2,0,3,2,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,711.5100495903448
0,1,3,1,0,2,2,3,3,3,2,1,1,0,0,1,0,1,0,0,0,0,0,1,1,357.8372027239807
3,2,2,2,4,2,2,3,3,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,711.9745462706387
3,1,2,0,2,4,2,3,1,3,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,811.7142319482916
1,2,2,1,0,2,2,1,2,1,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,684.8966678405815
3,0,2,0,3,3,0,3,0,3,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,803.3526387362577
1,1,4,1,0,0,3,1,2,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,347.2292855017633
1,0,2,0,0,1,1,0,2,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,499.01407874130393
0,3,2,1,0,1,1,3,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,347.59842474535776
1,0,2,0,0,2,1,0,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,725.051835893941
0,1,4,0,0,4,2,3,2,3,2,1,0,0,0,1,0,1,0,0,1,0,1,0,1,388.7131446895269
0,0,2,0,0,2,1,3,2,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,571.6430774418205
0,1,2,0,1,2,1,1,2,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,384.432421063508
3,1,4,0,4,4,2,3,1,3,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,808.919174127122
0,1,0,2,4,1,2,2,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,677.5869157088573
1,1,2,3,0,4,1,1,3,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,318.7238079369727
3,1,2,0,2,4,2,1,2,1,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,792.6321169254413
3,0,4,0,0,2,2,3,2,2,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,823.8904015193416
0,0,2,0,2,2,2,2,0,2,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,762.5396074359269
0,0,4,0,0,1,2,2,0,2,2,1,1,0,1,1,0,1,0,1,0,0,1,0,0,776.0096427077794
1,0,4,0,1,1,2,3,1,2,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,753.7893248013015
3,0,4,0,4,2,3,0,2,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,800.4052128155618
0,0,2,0,0,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,681.152388944321
3,0,0,0,0,4,3,3,2,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,716.2529190359226
2,0,1,0,3,2,1,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,700.0925321438403
1,0,2,0,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,781.5460555647869
0,4,3,1,0,4,2,3,3,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,1,320.00679107505664
1,1,2,0,3,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,688.7389672261382
0,1,2,1,0,2,2,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,598.8778435057546
1,1,2,1,1,2,2,1,2,0,2,1,0,1,0,1,0,1,0,0,1,0,0,1,0,625.3186691862459
3,0,4,0,4,4,2,3,3,3,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,786.0537109832553
2,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,752.193464903363
1,3,4,1,0,1,2,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,333.9351102165405
3,3,4,1,0,2,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,669.6750877171878
2,1,2,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,375.5065674343421
2,0,2,0,0,2,2,1,2,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,650.9146903570945
1,0,2,0,0,2,2,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,690.1934676982485
3,1,2,0,2,4,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,738.6292247040935
1,0,2,0,2,2,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,720.2535416144985
1,1,3,1,0,2,2,3,0,2,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,683.6210545967228
0,1,4,1,1,3,3,3,2,0,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0,740.9900277461547
0,3,4,1,0,4,1,3,3,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,485.5329693521993
3,0,4,0,0,1,1,3,2,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,752.537922479429
3,2,2,0,2,4,2,3,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,762.6047788685607
0,0,2,0,2,0,1,1,1,0,2,0,0,1,0,0,1,1,0,1,0,1,0,0,0,746.4547489682276
3,0,4,1,0,2,2,3,1,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,796.4532580501686
3,0,2,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,707.6720789212628
1,1,3,0,4,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,694.6938645457764
1,1,3,1,0,4,2,1,2,0,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,788.1254498532032
3,0,2,0,0,2,2,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,597.9087217576598
3,1,2,0,4,2,2,0,1,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,820.3741746203328
1,2,3,0,0,4,2,3,3,3,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,459.9824141280229
3,0,1,0,4,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,493.82186115426623
1,0,2,1,4,0,2,0,3,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,384.6183370614691
3,2,4,2,0,2,1,1,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,679.4348205972167
2,1,2,0,0,4,1,1,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,710.2672729182154
0,2,4,1,0,1,1,3,3,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,1,387.1696645431433
1,0,2,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,477.70744030952636
1,0,4,0,4,4,2,3,0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,816.5356235907852
1,2,0,0,0,4,2,3,3,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,326.7646042089132
1,3,0,3,0,2,2,1,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,340.06355176110026
3,1,2,0,0,1,1,3,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,726.2544753426525
3,1,2,1,4,4,2,3,1,2,2,3,1,1,0,0,0,1,0,0,1,0,0,1,0,766.5522698152708
3,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,456.6853376298858
1,0,2,0,3,2,3,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,547.9134579137625
3,2,2,0,0,2,2,3,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,421.8342504125298
3,2,2,0,4,2,1,3,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,715.8929965038565
3,2,2,2,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,390.11613827566805
3,0,4,0,4,4,2,1,1,2,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,795.0203711721634
0,0,4,0,0,4,2,3,3,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,643.1114254929787
1,2,4,1,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,748.0495430120184
0,2,2,0,4,4,2,3,3,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,375.8903743521397
0,0,4,0,0,4,2,3,3,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,718.2696381086439
0,2,2,1,0,1,2,2,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,422.16560065366474
1,0,3,1,0,3,2,3,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,721.5251401502555
3,3,0,2,4,2,2,1,1,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,763.4510678664838
1,1,2,0,0,1,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,572.7491540145513
3,1,2,1,4,1,1,0,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,1,1,379.37239872629624
3,0,2,0,2,4,2,2,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,806.7407259412231
3,1,2,0,1,2,1,3,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,659.6997607796508
0,1,2,0,0,4,1,3,0,3,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,790.1080534216887
0,0,2,0,0,4,2,3,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,775.6596622056302
3,0,4,0,0,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,749.7779834249363
1,1,4,0,0,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,694.6153285692601
1,2,2,3,1,2,2,3,3,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,337.61128600380846
0,1,2,0,1,3,2,2,2,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,541.6623028507418
0,0,0,0,0,3,2,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,359.797585514654
3,0,4,0,0,4,2,3,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,829.1585538107505
0,0,4,0,0,4,2,2,0,3,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,809.4119092676965
3,0,4,0,4,4,1,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,386.7618505392272
2,1,4,0,4,4,2,3,3,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,711.7495157242452
